Date,SPY Volume,SPY Price Change,XLV Volume,XLV Price Change,IYK Volume,IYK Price Change,DFF
2001-05-02,9572900,-0.46307509730555185,19000,0.79010303022662,12900,0.8495170109106044,4.35
2001-05-03,9926200,-0.7294045999224171,14000,-0.6560739176821113,3900,0.19426420120775673,4.48
2001-05-04,12145300,2.984224779875053,11300,1.1212333174059814,7800,0.5103280556420907,4.41
2001-05-07,7185200,-0.4887300923164875,15900,0.45139237678445765,18300,0.5066344871740667,4.47
2001-05-08,6952600,-0.5360247474694487,7800,-1.420651371425802,6300,-0.8403313527090388,4.41
2001-05-09,9507400,0.3193628742514975,8200,0.8453681171316773,9600,0.0482300469792647,4.43
2001-05-10,6872400,-0.9743870662519685,8300,0.034713642301754465,8700,-0.4561800829815152,4.51
2001-05-11,7734400,-0.6746015873015868,14100,-0.1379344827586213,2400,-0.8363225806451586,4.47
2001-05-14,7914000,0.40032024979471176,22600,-0.7914625186325812,3600,-0.36101083032490205,4.43
2001-05-15,9782200,0.342493022481244,69600,0.7304313043478254,8700,-0.4572779783393508,4.22
2001-05-16,14909000,3.292214940474683,17300,2.7624344876531306,2700,1.600578155771094,4.04
2001-05-17,11824600,0.11627441860464528,19600,0.5695142378559402,5700,-0.8945409604519733,4.04
2001-05-18,6683100,0.5035316601915325,9400,0.06648936170213805,3900,0.1190499999999999,3.95
2001-05-21,11531500,1.3940219160203753,68500,1.3262566312997384,8700,-0.23980575539568863,4.02
2001-05-22,8342700,-0.2654979858075156,8900,0.32786885245902103,4800,-0.23928930366115542,3.99
2001-05-23,12330800,-1.3735238144176187,8800,-1.3442622950819676,600,0.0,3.97
2001-05-24,7902800,0.12358384086211208,10600,0.8609205012940215,3900,0.9820311142028473,3.98
2001-05-25,7425000,-1.1955172169155557,17000,-0.23094359059531083,600,0.28721875808475317,3.94
2001-05-29,9003900,-0.8890960779200143,5300,0.033333333333338544,38100,1.347776173285198,4.09
2001-05-30,10041800,-1.0190323412286035,18100,-0.4658868707449858,6900,0.1423825310303245,4.05
2001-05-31,9874200,0.41457147412898776,5000,0.605656144201072,9000,-0.546580310204844,4.24
2001-06-01,8848300,0.4199730686205961,15600,0.03355704810594646,9000,0.19070560645305218,4.14
2001-06-04,5623500,0.4258619773061011,6800,-0.033492966058504284,2400,0.8383185427947683,4.03
2001-06-05,9115400,1.027535509099313,93200,0.7018683155080208,2700,0.668422073726944,3.93
2001-06-06,12064900,-0.8538376022069851,9800,-0.9609045725646128,8700,-0.3562945452801605,3.91
2001-06-07,7355300,0.8972837253691279,4300,0.501501170177202,7500,-0.3106308243727508,3.92
2001-06-08,8170600,-0.5481574130342355,7500,-0.49916474206871386,8100,-0.4561800829815152,4.02
2001-06-11,7012200,-0.48141504602174046,12500,-0.335008375209385,6900,0.3639893141473032,4.03
2001-06-12,9364400,0.8169117346074715,7700,0.7809812977595464,1200,0.0,3.98
2001-06-13,7629400,-1.0858326240125666,9300,-0.4716947439353084,1200,-0.5052935636499788,4.04
2001-06-14,12603000,-1.755516186181355,3400,-1.1255115961800881,26400,-0.6060581818181793,4.03
2001-06-15,16821100,0.7774327755377451,56100,0.696860602896837,2400,-0.3680981685422785,3.94
2001-06-18,11368300,-0.3205918566281656,10900,-1.522494809688577,7500,-0.8384759349327763,3.91
2001-06-19,7732300,-0.48210166241465036,8100,-0.20978671328671764,44700,-0.34782856278687635,3.91
2001-06-20,8787200,1.0231850643916978,4600,2.315789473684211,1500,0.24937405861910622,3.98
2001-06-21,12259100,1.3091138822687431,7400,1.131687242798348,3300,0.0,4.02
2001-06-22,12212000,-0.5182605962954187,6800,-0.6484573600156069,12600,-0.3918662747979449,3.98
2001-06-25,8406800,-1.2654104580257235,5100,0.482090203784771,2700,-0.4165596769556394,3.97
2001-06-26,8005800,0.5376352268381296,31600,-0.9310344827586192,4500,-0.09818114874815445,3.75
2001-06-27,10105100,-0.09868010030724093,33600,1.6359241211277404,8100,0.8098159707930388,3.68
2001-06-28,10269300,0.12295245901639397,12400,0.3068530514831347,10200,0.7278020378457034,3.86
2001-06-29,9824200,-0.16287051719372062,19600,1.1986232466224893,20700,-0.6022693181819053,3.95
2001-07-02,8522200,1.0830569767982816,5600,0.7106633066214381,8100,1.5217391304347758,4.11
2001-07-03,3303100,0.09678576955672678,3500,0.13459287128509048,2400,-0.11976287138292514,3.69
2001-07-05,5517900,-1.1294385309173531,13200,-0.8428860418071477,12900,-0.02411282487674444,3.72
2001-07-06,11665900,-1.8629915400707446,20100,-1.5016997099556189,4500,0.41483894582722647,3.6
2001-07-09,8339300,0.17574609048030637,6100,-0.1391753653444611,2100,0.09741597424704913,3.67
2001-07-10,8630700,-1.687587482853212,28800,-0.8293019754905968,8100,-0.2924689180485342,3.71
2001-07-11,15328600,0.23708637150019568,14500,0.8084323090181944,10800,0.9079803903798856,3.78
2001-07-12,12002800,1.4142276150627673,3300,1.1526371342171484,2700,0.048830567598404,3.78
2001-07-13,10433800,1.1585584627129586,13400,0.8298755186721938,2400,0.14598540145986388,3.75
2001-07-16,6915300,-0.870491932425692,18700,-0.4801097393690006,20100,0.46116991410606106,3.82
2001-07-17,7469800,1.3643918809748417,9500,1.0373409405255867,6600,0.9266057059253797,3.71
2001-07-18,7709300,0.37326145277474787,4900,-0.34447466949794076,9600,-0.04787646750960544,3.73
2001-07-19,10082900,-0.09003110165330958,17100,-1.1683848797250853,2700,-1.0936733238231096,3.77
2001-07-20,6705800,0.15682542044035513,10800,-0.069324090121328,900,0.359453630481673,3.8
